Variables,Site,Time,Tide,mean_val,vars_val
Phosphate,BP,Day,High,0.14333333333333334,8.754385964912281e-4
Phosphate,BP,Day,Low,0.26,0.04111764705882353
Phosphate,BP,Night,High,0.16641025641025642,0.003060458839406208
Phosphate,BP,Night,Low,0.234,0.016122051282051283
Phosphate,W,Day,High,0.11023809523809523,4.657955865272938e-4
Phosphate,W,Day,Low,0.16047619047619047,0.01598513356562137
Phosphate,W,Night,High,0.10780487804878049,6.475609756097561e-4
Phosphate,W,Night,Low,0.1615,0.016366923076923078
Salinity,BP,Day,High,34.47661412948718,0.04454554362007699
Salinity,BP,Day,Low,33.456101506857145,2.261640392550069
Salinity,BP,Night,High,34.35428702615385,0.14005305686517086
Salinity,BP,Night,Low,33.84177673575,0.7897184176732158
Salinity,W,Day,High,34.549040626190475,0.003080006500338198
Salinity,W,Day,Low,33.525308946904765,3.4596856609551083
Salinity,W,Night,High,34.4783078295122,0.0402935231859939
Salinity,W,Night,Low,33.5048396505,4.222052971692119
